user_id,genre,play_count
user_1,Rock,7
user_10,Rock,8
user_100,Hip-Hop,11
user_11,Pop,5
user_12,Pop,5
user_13,Rock,5
user_14,Hip-Hop,3
user_15,Jazz,9
user_16,Pop,3
user_17,Jazz,7
user_18,Classical,6
user_19,Rock,10
user_2,Classical,8
user_20,Rock,8
user_21,Hip-Hop,8
user_22,Rock,7
user_23,Hip-Hop,4
user_24,Classical,7
user_25,Pop,4
user_26,Hip-Hop,5
user_27,Rock,6
user_28,Pop,8
user_29,Hip-Hop,7
user_3,Rock,9
user_30,Hip-Hop,7
user_31,Rock,7
user_32,Rock,8
user_33,Jazz,11
user_34,Classical,5
user_35,Rock,5
user_36,Rock,7
user_37,Jazz,5
user_38,Jazz,4
user_39,Jazz,8
user_4,Rock,4
user_40,Hip-Hop,4
user_41,Hip-Hop,10
user_42,Rock,9
user_43,Classical,8
user_44,Jazz,6
user_45,Classical,5
user_46,Classical,7
user_47,Hip-Hop,5
user_48,Hip-Hop,9
user_49,Jazz,9
user_5,Hip-Hop,10
user_50,Jazz,4
user_51,Hip-Hop,13
user_52,Classical,8
user_53,Pop,9
user_54,Rock,7
user_55,Jazz,7
user_56,Rock,12
user_57,Hip-Hop,7
user_58,Hip-Hop,6
user_59,Rock,4
user_6,Jazz,8
user_60,Pop,9
user_61,Rock,8
user_62,Rock,9
user_63,Pop,4
user_64,Jazz,5
user_65,Hip-Hop,5
user_66,Classical,7
user_67,Hip-Hop,6
user_68,Jazz,3
user_69,Rock,4
user_7,Jazz,8
user_70,Jazz,6
user_71,Pop,5
user_72,Pop,10
user_73,Hip-Hop,8
user_74,Hip-Hop,8
user_75,Pop,7
user_76,Classical,10
user_77,Classical,7
user_78,Classical,10
user_79,Pop,7
user_8,Classical,6
user_80,Jazz,9
user_81,Jazz,2
user_82,Hip-Hop,5
user_83,Hip-Hop,5
user_84,Pop,10
user_85,Rock,2
user_86,Hip-Hop,7
user_87,Classical,5
user_88,Rock,7
user_89,Hip-Hop,6
user_9,Classical,2
user_90,Pop,4
user_91,Rock,7
user_92,Pop,5
user_93,Pop,4
user_94,Classical,10
user_95,Rock,5
user_96,Rock,10
user_97,Pop,3
user_98,Jazz,13
user_99,Pop,9
