song_id,title,avg_duration_sec,play_count
song_1,Title_song_1,213.13,15
song_25,Title_song_25,198.0,19
song_13,Title_song_13,196.53,15
song_39,Title_song_39,193.89,19
song_2,Title_song_2,193.52,27
song_42,Title_song_42,190.58,12
song_8,Title_song_8,187.8,25
song_36,Title_song_36,187.75,20
song_46,Title_song_46,185.76,21
song_11,Title_song_11,185.62,13
song_28,Title_song_28,185.23,30
song_35,Title_song_35,184.56,27
song_6,Title_song_6,182.25,20
song_21,Title_song_21,181.12,26
song_38,Title_song_38,179.54,24
song_9,Title_song_9,179.46,24
song_30,Title_song_30,178.86,22
song_12,Title_song_12,178.41,22
song_49,Title_song_49,177.79,28
song_31,Title_song_31,167.67,18
song_34,Title_song_34,166.4,25
song_19,Title_song_19,166.32,22
song_29,Title_song_29,163.22,18
song_44,Title_song_44,163.14,21
song_48,Title_song_48,162.8,25
song_37,Title_song_37,162.46,13
song_26,Title_song_26,160.83,30
song_40,Title_song_40,159.29,17
song_43,Title_song_43,157.52,21
song_32,Title_song_32,156.91,11
song_33,Title_song_33,156.24,21
song_50,Title_song_50,156.0,16
song_41,Title_song_41,155.46,13
song_17,Title_song_17,155.2,20
song_24,Title_song_24,154.81,16
song_20,Title_song_20,152.72,18
song_16,Title_song_16,151.88,25
song_22,Title_song_22,151.42,12
song_14,Title_song_14,149.71,17
song_5,Title_song_5,147.47,19
song_47,Title_song_47,146.43,21
song_10,Title_song_10,143.92,13
song_4,Title_song_4,143.45,20
song_7,Title_song_7,141.55,20
song_27,Title_song_27,141.07,14
song_23,Title_song_23,138.39,18
song_45,Title_song_45,137.87,23
song_18,Title_song_18,133.73,26
song_15,Title_song_15,131.94,16
song_3,Title_song_3,126.5,22
